underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:30:00,VIX,2021-07-21,24.0,P,4.29,4.29,4.28,4.28,3,13108,4.3,16054,4.4,17.75,17.75,-0.30166831442652076,
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,28.0,C,2.77,2.77,2.77,2.77,500,20388,2.7,11471,2.8,17.74,17.74,-0.4563825332937705,1.5678314591066478
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,27.0,P,6.59,6.59,6.59,6.59,1,36896,6.5,47256,6.7,17.74,17.74,-0.42001488912289575,
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,23.0,C,3.9,3.9,3.9,3.9,1,42426,3.9,43342,4.1,17.74,17.74,-0.2596722390477163,1.6094040202245565
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,26.0,C,3.2,3.2,3.2,3.2,5,44353,3.1,44362,3.3,17.74,17.74,-0.38227456114004865,1.590485944459673
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,25.0,C,3.4,3.44,3.4,3.43,8,49353,3.3,41600,3.5,17.74,17.74,-0.34305384798676747,1.5914686801878277
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,29.0,P,8.23,8.23,8.23,8.23,10,38471,8.1,45118,8.3,17.74,17.74,-0.4914738531050407,
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,24.0,P,4.3,4.4,4.3,4.4,11,48822,4.2,37442,4.4,17.74,17.74,-0.3022318534665122,
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,45.0,P,22.68,22.68,22.68,22.68,50,549,22.6,461,22.7,17.74,17.74,-0.9308405128888864,
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,18.0,P,0.9,0.9,0.9,0.9,10,28428,0.85,48633,0.95,17.74,17.74,-0.014549781014731299,0.23136517501244316
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,18.0,C,6.3,6.3,6.2,6.2,16,1822,6.2,602,6.3,17.74,17.74,-0.014549781014731299,1.9191653347046842
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,17.0,C,6.9,6.9,6.9,6.9,7,3,6.9,11460,7.0,17.74,17.74,0.04260863282521729,2.010651469794443
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,16.0,P,0.32,0.32,0.32,0.32,2000,7033,0.3,25578,0.35,17.74,17.74,0.1032332546416521,0.29603189861799195
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,37.5,C,1.55,1.55,1.55,1.55,500,13710,1.5,47045,1.6,17.74,17.74,-0.7485189560949318,1.5419559921856032
